Sample ID	att exkludera	Array Info.Sentrix ID	Array Info.Sentrix Position
EPH1_2000927143.1_46R01C02		9275879160	R01C02
EPH1_2000927144.1_46R06C01		9275879160	R06C01
EPH1_2000927150.1_97R01C01		9275886042	R01C01
EPH1_2000927156.1_46R05C01		9275879160	R05C01
EPH1_2000927269.1_4R02C01		9274736008	R02C01
EPH1_2000927270.1_167R02C01		9275884074	R02C01
EPH1_2000927275.1_78R02C02		9274736080	R02C02
EPH1_2000927276.1_52R05C01		9275884138	R05C01
EPH1_2000927285.1_137R04C01		9275885016	R04C01
EPH1_2000927286.1_78R03C02		9274736080	R03C02
EPH1_2000927299.1_137R03C01		9275885016	R03C01
EPH1_2000927305.1_4R01C01		9274736008	R01C01
EPH1_2000927306.1_52R03C02		9275884138	R03C02
EPH1_2000927315.1_109R02C01		9275884120	R02C01
EPH1_2000927316.1_2R03C01		9275884146	R03C01
EPH1_2000927318.1_78R05C02		9274736080	R05C02
EPH1_2000927322.1_52R02C02		9275884138	R02C02
EPH1_2000927323.1_52R01C02		9275884138	R01C02
EPH1_2000927324.1_128R05C02		9275884092	R05C02
EPH1_2000927327.1_2R04C01		9275884146	R04C01
EPH1_2000927328.1_4R03C01		9274736008	R03C01
EPH1_2000927333.1_128R06C02		9275884092	R06C02
EPH1_2000927339.1_14R03C01		9271671074	R03C01
EPH1_2000927340.1_14R02C01		9271671074	R02C01
EPH1_2000927341.1_14R01C01		9271671074	R01C01
EPH1_2000927345.1_78R04C02		9274736080	R04C02
EPH1_2000927347.1_52R06C01		9275884138	R06C01
EPH1_2000927348.1_52R04C01		9275884138	R04C01
EPH1_2000927351.1_4R04C01		9274736008	R04C01
EPH1_2000927358.1_24R04C02		9274736055	R04C02
EPH1_2000927361.1_8R06C02		9270018147	R06C02
EPH1_2000927363.1_8R01C02		9270018147	R01C02
EPH1_2000927364.1_98R05C01		9274736083	R05C01
EPH1_2000927369.1_71R01C02		9275885107	R01C02
EPH1_2000927371.1_71R06C01		9275885107	R06C01
EPH1_2000927373.1_8R05C02		9270018147	R05C02
EPH1_2000927376.1_217R04C02		9275884107	R04C02
EPH1_2000927378.1_169R05C01		9275885095	R05C01
EPH1_2000927379.1_98R03C01		9274736083	R03C01
EPH1_2000927382.1_113R05C02		9275885111	R05C02
EPH1_2000927384.1_217R02C02		9275884107	R02C02
EPH1_2000927385.1_198R03C01		9274735066	R03C01
EPH1_2000927386.1_98R01C02		9274736083	R01C02
EPH1_2000927391.1_8R05C01		9270018147	R05C01
EPH1_2000927392.1_199R06C02		9274735119	R06C02
EPH1_2000927393.1_169R03C01		9275885095	R03C01
EPH1_2000927394.1_120R06C02		9275885164	R06C02
EPH1_2000927396.1_159R06C02		9275883146	R06C02
EPH1_2000927397.1_8R04C02		9270018147	R04C02
EPH1_2000927398.1_71R06C02		9275885107	R06C02
EPH1_2000927399.1_210R06C01		9275883151	R06C01
EPH1_2000927400.1_98R04C01		9274736083	R04C01
EPH1_2000927401.1_198R02C01		9274735066	R02C01
EPH1_2000927406.1_199R05C02		9274735119	R05C02
EPH1_2000927409.1_8R03C02		9270018147	R03C02
EPH1_2000927417.1_169R02C01		9275885095	R02C01
EPH1_2000927422.1_71R05C02		9275885107	R05C02
EPH1_2000927424.1_71R04C02		9275885107	R04C02
EPH1_2000927426.1_198R01C01		9274735066	R01C01
EPH1_2000927427.1_169R04C01		9275885095	R04C01
EPH1_2000927428.1_64R04C01		9275844100	R04C01
EPH1_2000927430.1_199R04C02		9274735119	R04C02
EPH1_2000927431.1_71R05C01		9275885107	R05C01
EPH1_2000927432.1_71R03C01		9275885107	R03C01
EPH1_2000927436.1_217R03C02		9275884107	R03C02
EPH1_2000927438.1_71R03C02		9275885107	R03C02
EPH1_2000927439.1_8R04C01		9270018147	R04C01
EPH1_2000927441.1_98R01C01		9274736083	R01C01
EPH1_2000927442.1_120R05C02		9275885164	R05C02
EPH1_2000927443.1_71R04C01		9275885107	R04C01
EPH1_2000927444.1_71R02C01		9275885107	R02C01
EPH1_2000927446.1_8R02C02		9270018147	R02C02
EPH1_2000927447.1_98R06C01		9274736083	R06C01
EPH1_2000927448.1_169R06C01		9275885095	R06C01
EPH1_2000927450.1_8R06C01		9270018147	R06C01
EPH1_2000927451.1_98R02C01		9274736083	R02C01
EPH1_2000927452.1_71R02C02		9275885107	R02C02
EPH1_2000927454.1_64R05C01		9275844100	R05C01
EPH1_2000927455.1_166R02C01		9275884073	R02C01
EPH1_2000927461.1_139R02C02		9275885036	R02C02
EPH1_2000927462.1_38R01C01		9274736133	R01C01
EPH1_2000927473.1_139R01C02		9275885036	R01C02
EPH1_2000927476.1_81R03C01		9274736117	R03C01
EPH1_2000927477.1_36R05C01		9274736116	R05C01
EPH1_2000927478.1_79R06C02		9274736090	R06C02
EPH1_2000927485.1_139R06C01		9275885036	R06C01
EPH1_2000927486.1_81R04C01		9274736117	R04C01
EPH1_2000927487.1_36R04C02		9274736116	R04C02
EPH1_2000927489.1_81R02C01		9274736117	R02C01
EPH1_2000927498.1_36R06C02		9274736116	R06C02
EPH1_2000927500.1_36R02C02		9274736116	R02C02
EPH1_2000927501.1_81R01C01		9274736117	R01C01
EPH1_2000927502.1_136R04C02		9275885011	R04C02
EPH1_2000927509.1_139R05C01		9275885036	R05C01
EPH1_2000927512.1_62R05C01		9274736140	R05C01
EPH1_2000927521.1_139R04C01		9275885036	R04C01
EPH1_2000927524.1_36R01C02		9274736116	R01C02
EPH1_2000927525.1_36R04C01		9274736116	R04C01
EPH1_2000927526.1_36R02C01		9274736116	R02C01
EPH1_2000927528.1_36R01C01		9274736116	R01C01
EPH1_2000927534.1_136R05C02		9275885011	R05C02
EPH1_2000927536.1_36R06C01		9274736116	R06C01
EPH1_2000927537.1_62R04C01		9274736140	R04C01
EPH1_2000927545.1_38R02C01		9274736133	R02C01
EPH1_2000927546.1_36R05C02		9274736116	R05C02
EPH1_2000927547.1_36R03C02		9274736116	R03C02
EPH1_2000927549.1_36R03C01		9274736116	R03C01
EPH1_2000927552.1_79R03C02		9274736090	R03C02
EPH1_2000931297.1_35R03C01		9274736114	R03C01
EPH1_2000931298.1_39R03C02		9274736134	R03C02
EPH1_2000931299.1_39R01C02		9274736134	R01C02
EPH1_2000931300.1_39R02C01		9274736134	R02C01
EPH1_2000931309.1_35R02C01		9274736114	R02C01
EPH1_2000931311.1_39R06C01		9274736134	R06C01
EPH1_2000931312.1_39R01C01		9274736134	R01C01
EPH1_2000931321.1_35R01C01		9274736114	R01C01
EPH1_2000931322.1_39R02C02		9274736134	R02C02
EPH1_2000931323.1_39R05C01		9274736134	R05C01
EPH1_2000931324.1_133R01C02		9275884144	R01C02
EPH1_2000931333.1_39R06C02		9274736134	R06C02
EPH1_2000931334.1_133R02C02		9275884144	R02C02
EPH1_2000931345.1_78R01C01		9274736080	R01C01
EPH1_2000931346.1_93R06C02		9275885078	R06C02
EPH1_2000931347.1_39R04C01		9274736134	R04C01
EPH1_2000931348.1_43R06C02		9275879028	R06C02
